transaction_id,amount,method,payment_date,trip_id,client_id
1,30719.42,card,2024-12-02,72,1
2,93317.63,transfer,2025-01-16,88,1
3,76051.12,transfer,2025-03-27,9,2
4,273358.56,transfer,2024-07-22,56,2
5,129029.38,transfer,2024-12-05,4,3
6,299010.94,crypto,2025-05-12,49,3
7,346010.59,crypto,2025-05-04,41,3
8,425116.58,transfer,2025-02-21,15,4
9,346010.59,card,2025-02-22,41,4
10,16097.48,card,2024-10-04,83,5
11,181770.3,card,2024-07-10,63,5
12,324939.73,card,2024-07-19,62,5
13,112535.94,crypto,2025-04-18,55,6
14,1794990.64,transfer,2024-10-12,81,6
15,85365.21,card,2024-09-15,47,7
16,24676.73,card,2024-07-05,94,7
17,140846.04,card,2025-05-24,44,7
18,267287.33,transfer,2024-09-12,20,8
19,232140.5,transfer,2024-10-08,97,9
20,85365.21,crypto,2025-04-20,47,9
21,181770.3,crypto,2025-04-12,63,10
22,216984.4,crypto,2025-02-01,31,11
23,139687.94,transfer,2024-08-04,68,12
24,1057243.7,card,2025-05-29,50,12
25,216984.4,card,2025-02-16,31,13
26,261767.27,transfer,2024-08-31,40,13
27,129029.38,crypto,2024-07-20,4,14
28,81855.4,crypto,2024-09-16,22,14
29,4299483.75,transfer,2024-12-25,13,14
30,140846.04,crypto,2024-11-02,44,15
31,166990.49,card,2025-04-21,91,15
32,190647.86,card,2024-11-01,70,15
33,389798.58,card,2024-11-07,1,16
34,533244.54,transfer,2024-11-23,48,17
35,139687.94,crypto,2025-02-08,68,17
36,609677.95,crypto,2024-12-08,18,18
37,2763839.79,card,2025-04-11,14,19
38,762675.24,card,2025-03-13,27,19
39,346010.59,card,2024-06-17,41,19
40,113798.86,crypto,2025-05-26,37,20
41,1905649.15,crypto,2024-06-17,29,20
42,1794990.64,crypto,2024-07-23,81,20
43,176937.71,card,2025-05-13,87,21
44,50014.27,transfer,2024-08-06,46,22
45,181770.3,transfer,2024-10-09,63,22
46,762675.24,card,2024-09-20,27,22
47,153678.95,card,2024-06-19,73,23
48,131496.52,card,2024-11-16,32,23
49,209298.96,crypto,2024-07-08,78,24
50,314814.14,transfer,2024-12-11,39,24
51,762675.24,transfer,2024-09-10,27,25
52,86779.7,transfer,2024-12-02,57,26
53,93696.13,transfer,2025-04-09,67,26
54,2137969.3,card,2024-10-19,35,26
55,138674.18,transfer,2024-09-04,45,27
56,334367.45,card,2024-10-19,25,27
57,178781.4,card,2024-10-10,38,28
58,163814.94,crypto,2025-03-22,19,29
59,209298.96,transfer,2024-08-18,78,29
60,193822.45,transfer,2025-02-05,5,29
61,166990.49,crypto,2025-04-28,91,30
62,267287.33,transfer,2024-12-13,20,30
63,166990.49,card,2025-04-09,91,31
64,422562.0,card,2025-02-19,33,31
65,257823.53,crypto,2025-05-30,69,31
66,112535.94,card,2025-05-22,55,32
67,390198.65,crypto,2025-05-27,84,32
68,334367.45,card,2024-08-23,25,32
69,4774754.74,card,2025-05-09,23,33
70,112535.94,transfer,2025-02-28,55,33
71,93696.13,crypto,2025-06-04,67,33
72,86779.7,card,2025-06-05,57,34
73,125264.43,transfer,2024-12-15,54,35
74,153678.95,card,2024-08-26,73,36
75,267551.59,transfer,2025-05-07,43,36
76,3669048.07,crypto,2025-05-05,34,36
77,533244.54,crypto,2024-12-13,48,37
78,2763839.79,card,2025-01-27,14,37
79,209298.96,card,2025-02-15,78,37
80,25377.31,crypto,2024-11-11,30,38
81,314814.14,crypto,2024-09-07,39,39
82,425116.58,transfer,2024-08-10,15,39
83,267551.59,card,2024-07-05,43,39
84,16097.48,transfer,2024-07-21,83,40
85,209298.96,transfer,2024-06-23,78,41
86,273358.56,transfer,2024-09-12,56,41
87,267287.33,transfer,2025-02-03,20,41
88,1794990.64,transfer,2025-01-07,81,42
89,415696.86,transfer,2025-02-10,95,42
90,1905649.15,transfer,2025-03-19,29,42
91,1057243.7,card,2025-04-05,50,43
92,58991.5,crypto,2024-11-29,2,43
93,2781929.0,crypto,2025-05-18,42,43
94,422562.0,transfer,2025-02-01,33,44
95,457302.36,card,2024-12-31,26,44
96,166990.49,card,2025-02-17,91,44
97,1054189.91,card,2025-03-21,24,45
98,4774754.74,crypto,2024-12-06,23,46
99,609677.95,card,2025-01-17,18,47
100,112535.94,transfer,2024-10-12,55,47
101,25377.31,transfer,2024-10-29,30,48
102,85365.21,transfer,2024-09-20,47,49
103,425116.58,transfer,2024-06-30,15,49
104,55828.65,crypto,2025-05-20,92,50
105,153678.95,transfer,2024-10-09,73,50
106,307456.34,crypto,2024-11-09,64,51
107,487656.91,crypto,2024-10-28,17,51
108,245923.82,transfer,2024-12-06,7,52
109,209298.96,crypto,2024-07-02,78,52
110,366341.88,crypto,2024-07-27,71,53
111,762675.24,crypto,2024-07-21,27,54
112,153678.95,crypto,2025-03-05,73,54
113,58991.5,card,2025-01-05,2,55
114,3669048.07,crypto,2024-08-13,34,55
115,487656.91,crypto,2025-03-18,17,56
116,148704.71,crypto,2025-01-12,8,56
117,93285.58,card,2024-09-28,58,56
118,82005.86,crypto,2025-02-21,80,57
119,1794990.64,card,2025-05-15,81,58
120,518566.15,transfer,2025-02-20,28,58
121,2781929.0,card,2024-12-16,42,59
122,93285.58,transfer,2024-10-08,58,59
123,247647.99,crypto,2024-08-18,74,59
124,163814.94,crypto,2024-12-08,19,60
125,89984.51,crypto,2025-01-12,10,60
126,4299483.75,card,2025-01-13,13,60
127,113798.86,transfer,2024-12-12,37,61
128,533244.54,card,2025-03-10,48,62
129,1144661.1,transfer,2025-01-09,12,63
130,178781.4,transfer,2024-09-22,38,63
131,307456.34,crypto,2025-01-28,64,64
132,46552.26,crypto,2024-10-28,61,64
133,376300.87,transfer,2025-04-04,93,64
134,178781.4,crypto,2024-08-30,38,65
135,499563.8,card,2024-07-06,75,66
136,307456.34,crypto,2025-02-01,64,66
137,190647.86,transfer,2024-10-08,70,67
138,24676.73,transfer,2024-09-20,94,67
139,139687.94,transfer,2024-08-25,68,68
140,244794.12,transfer,2024-06-20,79,68
141,216984.4,transfer,2025-06-06,31,69
142,114325.32,card,2025-01-18,89,69
143,24676.73,card,2025-03-06,94,70
144,176937.71,crypto,2025-05-10,87,71
145,2781929.0,crypto,2025-04-22,42,72
146,55828.65,card,2025-01-31,92,72
147,1144661.1,crypto,2025-02-21,12,73
148,24676.73,transfer,2025-03-17,94,74
149,209298.96,transfer,2025-06-08,78,75
150,36224.94,card,2024-10-13,85,76
151,499118.91,crypto,2025-01-05,52,76
152,89984.51,crypto,2024-08-29,10,76
153,1057243.7,transfer,2025-03-18,50,77
154,131496.52,crypto,2024-12-16,32,77
155,46552.26,crypto,2024-08-21,61,78
156,307456.34,card,2024-12-18,64,78
157,4299483.75,card,2024-06-21,13,78
158,487656.91,transfer,2024-08-29,17,79
159,523809.7,crypto,2025-05-17,82,79
160,276118.3,card,2024-06-24,65,79
161,335619.82,crypto,2025-04-29,53,80
162,267287.33,transfer,2024-09-20,20,80
163,153678.95,transfer,2025-01-11,73,80
164,36224.94,crypto,2025-01-18,85,81
165,25377.31,card,2025-06-15,30,81
166,244794.12,transfer,2025-01-08,79,81
167,425270.84,card,2024-10-11,90,82
168,244794.12,card,2024-12-14,79,82
169,518566.15,crypto,2024-07-11,28,83
170,148704.71,card,2024-11-08,8,84
171,499563.8,card,2024-06-25,75,84
172,93285.58,transfer,2024-10-06,58,84
173,4636516.55,transfer,2025-05-01,16,85
174,335619.82,crypto,2024-08-03,53,86
175,4636516.55,transfer,2024-10-31,16,86
176,609677.95,transfer,2024-08-10,18,86
177,389798.58,transfer,2025-01-27,1,87
178,79251.34,transfer,2025-04-13,3,87
179,1905649.15,transfer,2025-02-25,29,87
180,131496.52,crypto,2024-09-25,32,88
181,390198.65,card,2024-11-04,84,88
182,3669048.07,card,2024-09-16,34,88
183,47521.31,transfer,2024-06-30,96,89
184,81855.4,crypto,2024-12-05,22,90
185,139687.94,card,2024-12-28,68,90
186,261767.27,card,2025-04-16,40,90
187,1905649.15,card,2025-01-25,29,91
188,176937.71,transfer,2025-01-31,87,91
189,268872.84,transfer,2024-08-13,86,92
190,114325.32,transfer,2025-05-19,89,93
191,1054189.91,crypto,2024-08-14,24,93
192,209298.96,card,2024-07-06,78,94
193,36224.94,card,2025-03-14,85,94
194,24676.73,card,2025-04-08,94,95
195,299010.94,card,2024-09-02,49,95
196,89984.51,crypto,2024-12-15,10,96
197,89984.51,transfer,2025-04-20,10,97
198,24676.73,crypto,2024-10-19,94,97
199,209298.96,transfer,2024-08-03,78,98
200,55828.65,card,2024-12-24,92,99
201,494346.74,crypto,2024-10-08,66,100
202,366341.88,card,2024-11-14,71,100
203,1057243.7,transfer,2024-07-16,50,100
204,76051.12,transfer,2024-09-15,9,101
205,376300.87,crypto,2025-01-17,93,101
206,334367.45,card,2024-12-26,25,102
207,76051.12,card,2024-12-12,9,103
208,518566.15,transfer,2024-09-01,28,103
209,2137969.3,transfer,2025-05-09,35,104
210,425270.84,transfer,2024-11-12,90,105
211,273358.56,card,2025-06-13,56,106
212,232140.5,transfer,2024-12-19,97,106
213,85365.21,transfer,2024-12-29,47,107
214,114325.32,crypto,2024-12-09,89,108
215,3669048.07,transfer,2024-09-23,34,108
216,609677.95,crypto,2025-01-01,18,109
217,155232.06,transfer,2024-09-26,11,109
218,140846.04,transfer,2025-02-20,44,109
219,166990.49,transfer,2024-06-21,91,110
220,314814.14,card,2024-08-06,39,111
221,129029.38,card,2024-12-09,4,111
222,193822.45,crypto,2024-06-17,5,112
223,89984.51,crypto,2024-12-21,10,113
224,47521.31,crypto,2024-08-20,96,113
225,198966.34,card,2024-08-05,77,114
226,163814.94,transfer,2024-08-22,19,115
227,307456.34,crypto,2025-05-14,64,115
228,716041.2,crypto,2025-03-24,60,116
229,47521.31,card,2024-06-21,96,116
230,181770.3,transfer,2025-03-06,63,116
231,457302.36,card,2025-04-28,26,117
232,533244.54,transfer,2024-09-30,48,117
233,25377.31,card,2024-12-10,30,117
234,58991.5,transfer,2024-09-20,2,118
235,762675.24,crypto,2025-05-23,27,118
236,494346.74,crypto,2024-07-20,66,118
237,56039.73,card,2025-01-17,6,119
238,2763839.79,crypto,2024-10-02,14,119
239,25377.31,transfer,2024-08-25,30,119
240,93285.58,transfer,2024-10-27,58,120
241,1794990.64,card,2025-06-10,81,121
242,2763839.79,transfer,2024-12-25,14,122
243,716041.2,card,2025-06-03,60,122
244,276118.3,card,2025-01-04,65,123
245,762675.24,crypto,2025-03-18,27,123
246,4299483.75,transfer,2024-07-06,13,123
247,25377.31,card,2025-01-24,30,124
248,138674.18,transfer,2024-08-08,45,124
249,82005.86,crypto,2025-05-25,80,125
250,79251.34,transfer,2024-08-07,3,125
251,89984.51,crypto,2024-07-31,10,125
252,73664.99,crypto,2025-02-09,36,126
253,4299483.75,transfer,2024-07-18,13,126
254,113798.86,transfer,2024-11-07,37,126
255,47521.31,card,2025-02-21,96,127
256,307456.34,transfer,2024-10-06,64,127
257,415696.86,crypto,2025-05-14,95,127
258,155232.06,crypto,2025-05-28,11,128
259,55828.65,card,2024-08-31,92,128
260,114325.32,transfer,2024-10-20,89,129
261,2781929.0,crypto,2025-03-21,42,130
262,178781.4,transfer,2024-10-15,38,130
263,155232.06,transfer,2025-05-18,11,130
264,153678.95,transfer,2024-12-08,73,131
265,1905649.15,crypto,2025-03-01,29,131
266,390198.65,crypto,2025-03-30,84,132
267,533244.54,transfer,2024-08-25,48,132
268,499118.91,card,2025-02-18,52,133
269,16097.48,card,2025-02-27,83,134
270,81855.4,card,2024-07-19,22,134
271,267551.59,card,2024-07-19,43,135
272,125264.43,card,2024-11-10,54,136
273,487656.91,crypto,2025-03-06,17,137
274,2781929.0,crypto,2024-09-30,42,137
275,1905649.15,card,2024-09-27,29,137
276,415696.86,crypto,2024-10-14,95,138
277,324939.73,transfer,2024-11-01,62,138
278,209298.96,transfer,2024-11-18,78,139
279,86779.7,crypto,2025-05-12,57,140
280,3669048.07,card,2024-08-24,34,141
281,148704.71,transfer,2025-05-08,8,141
282,216984.4,crypto,2025-01-30,31,142
283,2137969.3,transfer,2025-02-04,35,142
284,90021.9,crypto,2025-05-28,76,143
285,609677.95,card,2024-08-24,18,143
286,112535.94,card,2024-08-23,55,144
287,125264.43,crypto,2024-11-05,54,145
288,89984.51,card,2025-06-17,10,145
289,314814.14,crypto,2024-10-29,39,145
290,1905649.15,card,2024-06-26,29,146
291,257823.53,crypto,2025-02-05,69,146
292,267551.59,crypto,2025-03-30,43,147
293,487656.91,transfer,2024-09-25,17,147
294,89984.51,transfer,2024-12-11,10,147
295,153678.95,card,2024-07-21,73,148
296,129029.38,card,2025-05-31,4,148
297,4299483.75,crypto,2024-09-05,13,149
298,415696.86,card,2024-10-10,95,149
299,85365.21,card,2024-09-13,47,149
300,82005.86,crypto,2024-07-01,80,150
301,346010.59,card,2024-10-27,41,150
302,523809.7,card,2025-03-23,82,150
303,425270.84,card,2024-07-17,90,151
304,90021.9,crypto,2024-11-13,76,152
305,1794990.64,card,2024-07-09,81,152
306,216984.4,crypto,2024-12-13,31,152
307,47521.31,card,2024-08-08,96,153
308,245923.82,card,2024-11-20,7,154
309,16097.48,transfer,2024-10-17,83,154
310,273358.56,transfer,2025-02-08,56,154
311,58991.5,transfer,2024-08-01,2,155
312,499563.8,transfer,2024-12-17,75,156
313,276118.3,transfer,2024-09-10,65,156
314,1054189.91,card,2025-03-29,24,157
315,76051.12,card,2025-04-13,9,157
316,148704.71,transfer,2025-03-29,8,157
317,58991.5,crypto,2025-05-19,2,158
318,4774754.74,card,2024-11-07,23,158
319,181770.3,card,2024-10-12,63,158
320,36224.94,crypto,2024-08-04,85,159
321,324939.73,crypto,2024-10-26,62,159
322,2763839.79,transfer,2024-12-18,14,159
323,166990.49,transfer,2024-09-20,91,160
324,487656.91,crypto,2024-06-17,17,160
325,415696.86,crypto,2024-10-24,95,161
326,487656.91,card,2025-01-09,17,161
327,533244.54,crypto,2025-04-23,48,161
328,762675.24,transfer,2024-11-20,27,162
329,46552.26,transfer,2025-05-06,61,162
330,81855.4,card,2024-06-20,22,163
331,93696.13,transfer,2024-12-19,67,164
332,242111.56,card,2024-11-07,21,165
333,90021.9,card,2024-12-01,76,166
334,82005.86,card,2024-06-19,80,166
335,129029.38,transfer,2025-05-01,4,166
336,81855.4,transfer,2024-12-01,22,167
337,334367.45,crypto,2024-10-01,25,167
338,181747.73,transfer,2024-11-17,51,168
339,93285.58,crypto,2024-06-22,58,169
340,114325.32,transfer,2024-08-18,89,169
341,268872.84,transfer,2025-01-09,86,169
342,73664.99,transfer,2025-04-03,36,170
343,415696.86,card,2024-07-18,95,171
344,181747.73,transfer,2024-11-08,51,171
345,2781929.0,transfer,2024-07-15,42,171
346,499118.91,crypto,2025-02-05,52,172
347,268872.84,card,2025-02-18,86,172
348,609677.95,transfer,2024-10-25,18,173
349,16097.48,card,2024-09-27,83,174
350,140846.04,card,2024-10-28,44,174
351,2781929.0,card,2025-01-06,42,174
352,244794.12,card,2024-11-15,79,175
353,267551.59,transfer,2025-05-09,43,175
354,487656.91,transfer,2025-04-24,17,176
355,176937.71,transfer,2024-08-20,87,176
356,518566.15,card,2024-11-06,28,176
357,90021.9,crypto,2025-04-22,76,177
358,73664.99,transfer,2024-09-15,36,177
359,89984.51,crypto,2025-01-05,10,178
360,499118.91,crypto,2025-05-06,52,179
361,209298.96,card,2025-02-21,78,179
362,138674.18,transfer,2025-03-10,45,179
363,209298.96,transfer,2024-07-20,78,180
